,lat,lon,months_open,num_items_sold,state_pop
45,26.404759,-81.80921,7,25,19893297.0
46,26.433792,-81.813049,12,11,19893297.0
47,26.440936,-82.073654,8,24,19893297.0
48,26.442506,-81.930516,9,13,19893297.0
49,26.52479,-81.878845,7,26,19893297.0
50,26.525179,-82.190561,5,26,19893297.0
51,26.528433,-80.057952,12,17,19893297.0
52,26.549264,-81.76229,3,27,19893297.0
53,26.563733,-81.952514,8,21,19893297.0
54,26.608161,-82.024341,12,17,19893297.0
55,26.6153,-80.0403,7,14,19893297.0
56,26.642629,-81.873192,12,26,19893297.0
57,26.741988,-82.259954,4,26,19893297.0
58,26.775639,-80.263351,1,22,19893297.0
59,26.831775,-80.104843,1,17,19893297.0
60,26.841862,-80.104459,5,16,19893297.0
61,26.925563,-82.055929,8,23,19893297.0
62,26.934507,-82.050451,12,26,19893297.0
63,26.956452,-82.079759,1,19,19893297.0
64,27.074732,-82.206423,7,27,19893297.0
65,27.100805,-82.446599,12,22,19893297.0
66,27.20034,-80.25495,1,19,19893297.0
67,27.270461,-82.531357,7,16,19893297.0
68,27.286805,-82.50025,12,15,19893297.0
69,27.336511,-82.540609,12,22,19893297.0
70,27.449057,-80.321851,12,22,19893297.0
71,27.497223,-82.57345,8,20,19893297.0
72,27.505348,-99.508713,12,20,26956958.0
73,27.512113,-82.660491,5,2,19893297.0
74,27.641457,-80.399262,10,9,19893297.0
75,27.702789,-97.391425,12,16,26956958.0
76,27.740097,-82.707794,8,26,19893297.0
77,27.741575,-82.751016,8,23,19893297.0
78,27.742378,-82.749527,8,13,19893297.0
